language,tl,english,topic,word_type,tier
german,ähnlich,similar,key words,adj,foundation
german,anders,different,key words,adj,foundation
german,das Gegenteil ,opposite,key words,noun,foundation
german,gleich,same,key words,adj,foundation
german,hoch,high,key words,adj,foundation
german,hoher,higher,key words,adj,foundation
german,im Großen und Ganzen,by and large,key words,other,foundation
german,der Unterschied,difference,key words,noun,foundation
german,unterschiedlich,different,key words,adj,foundation
german,vergleichen,to compare,key words,verb,foundation
german,der Vergleich,comparison,key words,noun,foundation
german,verschieden,different,key words,adj,foundation
german,viel,many,key words,other,foundation
german,mehr,more,key words,other,foundation
german,wenigstens,at least,key words,other,foundation
german,als ob,as if,connectives,other,foundation
german,bevor,before,connectives,other,foundation
german,bis,until,connectives,other,foundation
german,da,because,connectives,other,foundation
german,damit,so that,connectives,other,foundation
german,denn,because,connectives,other,foundation
german,entweder,either,connectives,other,foundation
german,nachdem,afterwards,connectives,other,foundation
german,nur,only,connectives,other,foundation
german,ob,whether,connectives,other,foundation
german,obwohl,although,connectives,other,foundation
german,seitdem,since,connectives,other,foundation
german,so dass,so that,connectives,other,foundation
german,um zu,in order to,connectives,other,foundation
german,während,while,connectives,other,foundation
german,weder noch,neither nor,connectives,other,foundation
german,sondern,rather,connectives,other,foundation
german,abgesehen davon,apart from this,connectives,other,foundation
german,angenommen dass,assuming that,connectives,other,foundation
german,außer,except,connectives,other,foundation
german,außerdem,furthermore,connectives,other,foundation
german,danach,afterwards,connectives,other,foundation
german,das heißt,that is,connectives,other,foundation
german,d.h.,ie,connectives,other,foundation
german,dennoch,nevertheless,connectives,other,foundation
german,deshalb,therefore,connectives,other,foundation
german,deswegen,therefore,connectives,other,foundation
german,drittens,thirdly,connectives,other,foundation
german,eigentlich,actually,connectives,other,foundation
german,erstens,firstly,connectives,other,foundation
german,jedoch,however,connectives,other,foundation
german,leider,unfortunately,connectives,other,foundation
german,natürlich,naturally,connectives,other,foundation
german,ohne Zweifel,without a doubt,connectives,other,foundation
german,schließlich,finally,connectives,other,foundation
german,sonst,"otherwise, or else",connectives,other,foundation
german,sowieso,anyway,connectives,other,foundation
german,trotzdem,nevertheless,connectives,other,foundation
german,vorausgesetzt dass,provided that,connectives,other,foundation
german,zuerst,first,connectives,other,foundation
german,zufällig,by chance,connectives,other,foundation
german,zweitens,secondly,connectives,other,foundation
german,ab,from,prepositions,preposition,foundation
german,durch,through,prepositions,preposition,foundation
german,entlang,along,prepositions,preposition,foundation
german,gegen,against,prepositions,preposition,foundation
german,gegenüber,opposite,prepositions,preposition,foundation
german,hinter,behind,prepositions,preposition,foundation
german,nach,after,prepositions,preposition,foundation
german,neben,"around, ",prepositions,preposition,foundation
